"Catégorie","Article","Description","Quantité","Coût d'achat","Prix de vente","Total ligne"
"MATIER PREMIER","1.5 CM","POLYAMIDE","432","0 00DA","0 00DA","0 00DA"
"OEUILLET","1000 # BR","OEUILLET","45","0 00DA","0 00DA","0 00DA"
"BOUTON","11#","ANNEAUX","150","0 00DA","2 800 00DA","0 00DA"
"MOULE","1400 #","MOULE","20","0 00DA","0 00DA","0 00DA"
"OEUILLET","1400# M ARGENT","OEUILLET","100","0 00DA","700 00DA","0 00DA"
"BOUTON","15 #  LEVIS STRAUSSE","JEANS AEGENT","140","0 00DA","0 00DA","0 00DA"
"BOUTON","15 # ETOILE","JEANS BRANZE","25","0 00DA","0 00DA","0 00DA"
"BOUTON","15 # FASHION JEANS","JEANS ARGENT","110","0 00DA","0 00DA","0 00DA"
"BOUTON","15 # JEANS","JEANS BRANZE","60","0 00DA","0 00DA","0 00DA"
"BOUTON","17 #  LEVIS STRAUSSE","JEANS ARGENT","160","0 00DA","0 00DA","0 00DA"
"BOUTON","17 # ETOILE","JEANE BRANZE","25","0 00DA","0 00DA","0 00DA"
"BOUTON","17 # FASHION JEANS","JEANS ARGENT","130","0 00DA","0 00DA","0 00DA"
"BOUTON","17 # JEANS","JEANS BEANZE","25","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","2.5  GRIS","SATIN","12","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","2.5 BLEU","SATIN","12","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","2.5 PINK","SATIN","12","0 00DA","0 00DA","0 00DA"
"MOULE","201 #(C14)","MOULE","50","0 00DA","0 00DA","0 00DA"
"OEUILLET","2800# BRANZE","OEUILLET","115","0 00DA","1 750 00DA","0 00DA"
"OEUILLET","2800# M ARGENT","OEUILLET","67","0 00DA","1 750 00DA","0 00DA"
"OEUILLET","2800# NM ARGENT","OEUILLET","45","0 00DA","2 200 00DA","0 00DA"
"MATIER PREMIER","3.0","POLYAMIDE","360","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","3.5 BLACK","SATIN","43","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","3.5 BLEU","SATIN","8","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","3.5 GRIS","SATIN","8","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","3.5 PINK","SATIN","8","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","3.5 PLY","POLYAMIDE","20","0 00DA","0 00DA","0 00DA"
"MOULE","300 #","MOULE","60","0 00DA","0 00DA","0 00DA"
"MACHINE","40*60","MACHINE PRESSE TR","4","0 00DA","63 000 00DA","0 00DA"
"MOULE","4000 #","MOULE","74","0 00DA","0 00DA","0 00DA"
"OEUILLET","4000# M BRANZE","OEUILLET","145","0 00DA","700 00DA","0 00DA"
"OEUILLET","4000# NM ARGENT","OEUILLET","45","0 00DA","2 100 00DA","0 00DA"
"OEUILLET","4000# NM BRANZE","OEUILLET","45","0 00DA","2 100 00DA","0 00DA"
"MOULE","44 #","MOULE","28","0 00DA","0 00DA","0 00DA"
"MATIER PREMIER","45*60 F","FEUILLE VIDE","19","0 00DA","0 00DA","0 00DA"
"BOTTON","50 #","RECOUVRIRE","28","0 00DA","0 00DA","0 00DA"
"OEUILLET","600# M ARGENT","OEUILLET","150","0 00DA","600 00DA","0 00DA"
"MOULE","70 #","MOULE","41","0 00DA","0 00DA","0 00DA"
"BOUTON","70#","RECOUVRIR","14","0 00DA","5 000 00DA","0 00DA"
"OEUILLET","800# M ARGENT","OEUILLET","150","0 00DA","800 00DA","0 00DA"
"MOULE","831 #(P14)","MOULE","79","0 00DA","0 00DA","0 00DA"
"BOUTON","9.5#","ANNEAUX","100","0 00DA","2 100 00DA","0 00DA"
"MOULE","ANNEAUX  11#","MOULE","24","0 00DA","0 00DA","0 00DA"
"ATTACHE","ATTACHE 35","ATTACHE","98","0 00DA","0 00DA","0 00DA"
"ATTACHE","ATTACHE 7","ATTACHE","68","0 00DA","0 00DA","0 00DA"
"INK","B K","DTF COLOR INK","10","0 00DA","0 00DA","0 00DA"
"BOUTON","C 14 ARGENT","PRESSION","61","0 00DA","1 450 00DA","0 00DA"
"BOUTON","C 14 BRANZE","PRESSION","17","0 00DA","1 450 00DA","0 00DA"
"INK","C Y","DTF COLOR INK","11","0 00DA","0 00DA","0 00DA"
"FEUILLE TRANSFER","DTF ROLL","FEUILLE","46","0 00DA","0 00DA","0 00DA"
"EMULSION","EMILSION","EMULSION","42","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1009","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1115","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1138","GLISSIER","0","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1184","GLISSIER","0","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1200","GLISSIER","0","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1586","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1588","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1602","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1605","GLISSIER","12 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1606","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 1727","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 2132","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 2297","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 2302","GLISSIER","29 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 2597","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 3078","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"GLISSIER","F 3308","GLISSIER","15 000","0 00DA","0 00DA","0 00DA"
"INK","M G","DTF COLOR INK","12","0 00DA","0 00DA","0 00DA"
"TAILLE","P 1","PAPIEE","20","0 00DA","0 00DA","0 00DA"
"TAILLE","P 10","PAPIEE","23","0 00DA","0 00DA","0 00DA"
"TAILLE","P 12","PAPIEE","0","0 00DA","0 00DA","0 00DA"
"TAILLE","P 14","PAPIEE","11","0 00DA","0 00DA","0 00DA"
"BOUTON","P 14 ARGENT","PRESSION","75","0 00DA","1 450 00DA","0 00DA"
"BOUTON","P 14 BRANZE","PRESSION","50","0 00DA","1 450 00DA","0 00DA"
"TAILLE","P 3","PAPIEE","20","0 00DA","0 00DA","0 00DA"
"TAILLE","P 36","PAPIEE","22","0 00DA","0 00DA","0 00DA"
"TAILLE","P 38","PAPIEE","31","0 00DA","0 00DA","0 00DA"
"TAILLE","P 4","PAPIEE","13","0 00DA","0 00DA","0 00DA"
"TAILLE","P 40","PAPIEE","30","0 00DA","0 00DA","0 00DA"
"TAILLE","P 42","PAPIEE","34","0 00DA","0 00DA","0 00DA"
"TAILLE","P 44","PAPIEE","20","0 00DA","0 00DA","0 00DA"
"TAILLE","P 46","PAPIEE","22","0 00DA","0 00DA","0 00DA"
"TAILLE","P 48","PAPIEE","24","0 00DA","0 00DA","0 00DA"
"TAILLE","P 5","PAPIEE","25","0 00DA","0 00DA","0 00DA"
"TAILLE","P 52","PAPIEE","9","0 00DA","0 00DA","0 00DA"
