name,category ,quantity,Coût d'achat,Prix de vente,Total ligne
1.5 CM,POLYAMIDE,432,0 00DA,0 00DA,0 00DA
1000 # BR,OEUILLET,45,0 00DA,0 00DA,0 00DA
11#,ANNEAUX,150,0 00DA,2 800 00DA,0 00DA
1400 #,MOULE,20,0 00DA,0 00DA,0 00DA
1400# M ARGENT,OEUILLET,100,0 00DA,700 00DA,0 00DA
15 #  LEVIS STRAUSSE,JEANS AEGENT,140,0 00DA,0 00DA,0 00DA
15 # ETOILE,JEANS BRANZE,25,0 00DA,0 00DA,0 00DA
15 # FASHION JEANS,JEANS ARGENT,110,0 00DA,0 00DA,0 00DA
15 # JEANS,JEANS BRANZE,60,0 00DA,0 00DA,0 00DA
17 #  LEVIS STRAUSSE,JEANS ARGENT,160,0 00DA,0 00DA,0 00DA
17 # ETOILE,JEANE BRANZE,25,0 00DA,0 00DA,0 00DA
17 # FASHION JEANS,JEANS ARGENT,130,0 00DA,0 00DA,0 00DA
17 # JEANS,JEANS BEANZE,25,0 00DA,0 00DA,0 00DA
2.5  GRIS,SATIN,12,0 00DA,0 00DA,0 00DA
2.5 BLEU,SATIN,12,0 00DA,0 00DA,0 00DA
2.5 PINK,SATIN,12,0 00DA,0 00DA,0 00DA
201 #(C14),MOULE,50,0 00DA,0 00DA,0 00DA
2800# BRANZE,OEUILLET,115,0 00DA,1 750 00DA,0 00DA
2800# M ARGENT,OEUILLET,67,0 00DA,1 750 00DA,0 00DA
2800# NM ARGENT,OEUILLET,45,0 00DA,2 200 00DA,0 00DA
3,POLYAMIDE,360,0 00DA,0 00DA,0 00DA
3.5 BLACK,SATIN,43,0 00DA,0 00DA,0 00DA
3.5 BLEU,SATIN,8,0 00DA,0 00DA,0 00DA
3.5 GRIS,SATIN,8,0 00DA,0 00DA,0 00DA
3.5 PINK,SATIN,8,0 00DA,0 00DA,0 00DA
3.5 PLY,POLYAMIDE,20,0 00DA,0 00DA,0 00DA
300 #,MOULE,60,0 00DA,0 00DA,0 00DA
40 60,MACHINE PRESSE TR,4,0 00DA,63 000 00DA,0 00DA
4000 #,MOULE,74,0 00DA,0 00DA,0 00DA
4000# M BRANZE,OEUILLET,145,0 00DA,700 00DA,0 00DA
4000# NM ARGENT,OEUILLET,45,0 00DA,2 100 00DA,0 00DA
4000# NM BRANZE,OEUILLET,45,0 00DA,2 100 00DA,0 00DA
44 #,MOULE,28,0 00DA,0 00DA,0 00DA
45 60 F,FEUILLE VIDE,19,0 00DA,0 00DA,0 00DA
50 #,RECOUVRIRE,28,0 00DA,0 00DA,0 00DA
600# M ARGENT,OEUILLET,150,0 00DA,600 00DA,0 00DA
70 #,MOULE,41,0 00DA,0 00DA,0 00DA
70#,RECOUVRIR,14,0 00DA,5 000 00DA,0 00DA
800# M ARGENT,OEUILLET,150,0 00DA,800 00DA,0 00DA
831 #(P14),MOULE,79,0 00DA,0 00DA,0 00DA
9.5#,ANNEAUX,100,0 00DA,2 100 00DA,0 00DA
ANNEAUX  11#,MOULE,24,0 00DA,0 00DA,0 00DA
ATTACHE 35,ATTACHE,98,0 00DA,0 00DA,0 00DA
ATTACHE 7,ATTACHE,68,0 00DA,0 00DA,0 00DA
B K,DTF COLOR INK,10,0 00DA,0 00DA,0 00DA
C 14 ARGENT,PRESSION,61,0 00DA,1 450 00DA,0 00DA
C 14 BRANZE,PRESSION,17,0 00DA,1 450 00DA,0 00DA
C Y,DTF COLOR INK,11,0 00DA,0 00DA,0 00DA
DTF ROLL,FEUILLE,46,0 00DA,0 00DA,0 00DA
EMILSION,EMULSION,42,0 00DA,0 00DA,0 00DA
F 1009,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1115,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1138,GLISSIER,0,0 00DA,0 00DA,0 00DA
F 1184,GLISSIER,0,0 00DA,0 00DA,0 00DA
F 1200,GLISSIER,0,0 00DA,0 00DA,0 00DA
